tRCD,retention,FehlerAbs,FehlerProzent
3.33333,0,0,0
6.66667,0,0,0
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,0,0
3.33333,20,284,0.0043335
6.66667,20,0,0
10,20,1,1.52588e-05
13.3333,20,1,1.52588e-05
16.6667,20,0,0
20,20,0,0
23.3333,20,0,0
26.6667,20,0,0
3.33333,40,6,9.15527e-05
6.66667,40,11,0.000167847
10,40,11,0.000167847
13.3333,40,7,0.000106812
16.6667,40,10,0.000152588
20,40,13,0.000198364
23.3333,40,11,0.000167847
26.6667,40,9,0.000137329
3.33333,60,554,0.00845337
6.66667,60,51,0.000778198
10,60,47,0.000717163
13.3333,60,40,0.000610352
16.6667,60,41,0.00062561
20,60,52,0.000793457
23.3333,60,39,0.000595093
26.6667,60,49,0.000747681
3.33333,80,90,0.00137329
6.66667,80,134,0.00204468
10,80,127,0.00193787
13.3333,80,110,0.00167847
16.6667,80,112,0.00170898
20,80,132,0.00201416
23.3333,80,143,0.00218201
26.6667,80,158,0.00241089
3.33333,100,1776,0.0270996
6.66667,100,261,0.00398254
10,100,261,0.00398254
13.3333,100,281,0.00428772
16.6667,100,262,0.0039978
20,100,296,0.0045166
23.3333,100,295,0.00450134
26.6667,100,295,0.00450134
3.33333,120,397,0.00605774
6.66667,120,488,0.00744629
10,120,464,0.00708008
13.3333,120,462,0.00704956
16.6667,120,422,0.00643921
20,120,470,0.00717163
23.3333,120,485,0.00740051
26.6667,120,478,0.0072937
2.85714,0,2231733,34.0535
5.71429,0,10370,0.158234
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,0,0
2.85714,20,1210889,18.4767
5.71429,20,5780,0.0881958
8.57143,20,1,1.52588e-05
11.4286,20,1,1.52588e-05
14.2857,20,0,0
17.1429,20,0,0
20,20,0,0
22.8571,20,0,0
2.85714,40,2027315,30.9344
5.71429,40,9279,0.141586
8.57143,40,11,0.000167847
11.4286,40,7,0.000106812
14.2857,40,10,0.000152588
17.1429,40,12,0.000183105
20,40,11,0.000167847
22.8571,40,9,0.000137329
2.85714,60,2082257,31.7727
5.71429,60,10018,0.152863
8.57143,60,46,0.000701904
11.4286,60,42,0.000640869
14.2857,60,39,0.000595093
17.1429,60,51,0.000778198
20,60,37,0.000564575
22.8571,60,49,0.000747681
2.85714,80,2781490,42.4422
5.71429,80,12827,0.195724
8.57143,80,124,0.00189209
11.4286,80,111,0.00169373
14.2857,80,115,0.00175476
17.1429,80,131,0.0019989
20,80,141,0.00215149
22.8571,80,157,0.00239563
2.85714,100,2744936,41.8844
5.71429,100,13793,0.210464
8.57143,100,261,0.00398254
11.4286,100,282,0.00430298
14.2857,100,267,0.0040741
17.1429,100,297,0.00453186
20,100,297,0.00453186
22.8571,100,295,0.00450134
2.85714,120,3206519,48.9276
5.71429,120,14278,0.217865
