tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,105,0.00160217
6.66667,0,0,0
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,0,0
3.33333,20,3879,0.0591888
6.66667,20,8,0.00012207
10,20,3,4.57764e-05
13.3333,20,2,3.05176e-05
16.6667,20,2,3.05176e-05
20,20,2,3.05176e-05
23.3333,20,1,1.52588e-05
26.6667,20,1,1.52588e-05
3.33333,40,23,0.000350952
6.66667,40,14,0.000213623
10,40,13,0.000198364
13.3333,40,15,0.000228882
16.6667,40,27,0.000411987
20,40,19,0.000289917
23.3333,40,29,0.000442505
26.6667,40,21,0.000320435
3.33333,60,3590,0.0547791
6.66667,60,67,0.00102234
10,60,75,0.00114441
13.3333,60,104,0.00158691
16.6667,60,78,0.00119019
20,60,100,0.00152588
23.3333,60,73,0.00111389
26.6667,60,83,0.00126648
3.33333,80,204,0.00311279
6.66667,80,208,0.00317383
10,80,234,0.00357056
13.3333,80,233,0.0035553
16.6667,80,234,0.00357056
20,80,235,0.00358582
23.3333,80,235,0.00358582
26.6667,80,259,0.00395203
3.33333,100,1370,0.0209045
6.66667,100,479,0.00730896
10,100,515,0.00785828
13.3333,100,483,0.00737
16.6667,100,463,0.00706482
20,100,497,0.00758362
23.3333,100,496,0.00756836
26.6667,100,517,0.00788879
3.33333,120,3367,0.0513763
6.66667,120,862,0.0131531
10,120,934,0.0142517
13.3333,120,870,0.0132751
16.6667,120,909,0.0138702
20,120,888,0.0135498
23.3333,120,837,0.0127716
26.6667,120,878,0.0133972
2.85714,0,796751,12.1575
5.71429,0,3702,0.056488
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,0,0
2.85714,20,243890,3.72147
5.71429,20,1197,0.0182648
8.57143,20,4,6.10352e-05
11.4286,20,3,4.57764e-05
14.2857,20,2,3.05176e-05
17.1429,20,2,3.05176e-05
20,20,1,1.52588e-05
22.8571,20,1,1.52588e-05
2.85714,40,490100,7.47833
5.71429,40,2407,0.0367279
8.57143,40,25,0.00038147
11.4286,40,23,0.000350952
14.2857,40,32,0.000488281
17.1429,40,26,0.000396729
20,40,37,0.000564575
22.8571,40,30,0.000457764
2.85714,60,365292,5.57391
5.71429,60,1886,0.0287781
8.57143,60,103,0.00157166
11.4286,60,135,0.00205994
14.2857,60,103,0.00157166
17.1429,60,125,0.00190735
20,60,100,0.00152588
22.8571,60,110,0.00167847
2.85714,80,646176,9.85986
5.71429,80,3363,0.0513153
8.57143,80,274,0.00418091
11.4286,80,264,0.00402832
14.2857,80,282,0.00430298
17.1429,80,266,0.00405884
20,80,276,0.00421143
22.8571,80,294,0.00448608
2.85714,100,455617,6.95216
5.71429,100,3916,0.0597534
8.57143,100,546,0.0083313
11.4286,100,531,0.00810242
14.2857,100,500,0.00762939
17.1429,100,533,0.00813293
20,100,528,0.00805664
22.8571,100,550,0.00839233
2.85714,120,698154,10.653
5.71429,120,3893,0.0594025
8.57143,120,957,0.0146027
11.4286,120,905,0.0138092
14.2857,120,937,0.0142975
17.1429,120,903,0.0137787
20,120,857,0.0130768
22.8571,120,904,0.0137939
2.5,0,768657,11.7288
5,0,3483,0.0531464
7.5,0,0,0
10,0,0,0
12.5,0,0,0
15,0,0,0
17.5,0,0,0
20,0,0,0
2.5,20,799922,12.2058
5,20,3631,0.0554047
7.5,20,2,3.05176e-05
10,20,2,3.05176e-05
12.5,20,2,3.05176e-05
15,20,2,3.05176e-05
17.5,20,1,1.52588e-05
20,20,1,1.52588e-05
2.5,40,791799,12.0819
5,40,3577,0.0545807
7.5,40,14,0.000213623
10,40,16,0.000244141
12.5,40,26,0.000396729
15,40,20,0.000305176
17.5,40,29,0.000442505
20,40,24,0.000366211
2.5,60,785342,11.9834
5,60,3584,0.0546875
7.5,60,73,0.00111389
10,60,104,0.00158691
12.5,60,73,0.00111389
15,60,96,0.00146484
17.5,60,69,0.00105286
20,60,78,0.00119019
2.5,80,778474,11.8786
5,80,3701,0.0564728
7.5,80,221,0.00337219
10,80,217,0.00331116
12.5,80,212,0.00323486
15,80,219,0.00334167
17.5,80,202,0.00308228
20,80,240,0.00366211
2.5,100,773272,11.7992
5,100,3930,0.059967
7.5,100,455,0.00694275
10,100,433,0.00660706
12.5,100,414,0.00631714
15,100,445,0.00679016
17.5,100,455,0.00694275
20,100,465,0.00709534
2.5,120,774156,11.8127
5,120,4200,0.0640869
7.5,120,833,0.0127106
10,120,767,0.0117035
12.5,120,797,0.0121613
15,120,798,0.0121765
17.5,120,719,0.0109711
20,120,793,0.0121002
2.22222,0,795389,12.1367
4.44444,0,3628,0.0553589
6.66667,0,0,0
8.88889,0,0,0
11.1111,0,0,0
13.3333,0,0,0
15.5556,0,0,0
17.7778,0,0,0
2.22222,20,798581,12.1854
4.44444,20,4902,0.0747986
6.66667,20,5,7.62939e-05
8.88889,20,2,3.05176e-05
11.1111,20,2,3.05176e-05
13.3333,20,2,3.05176e-05
15.5556,20,1,1.52588e-05
17.7778,20,1,1.52588e-05
2.22222,40,796258,12.1499
4.44444,40,4168,0.0635986
6.66667,40,52,0.000793457
8.88889,40,16,0.000244141
11.1111,40,24,0.000366211
13.3333,40,20,0.000305176
15.5556,40,29,0.000442505
17.7778,40,23,0.000350952
2.22222,60,796113,12.1477
4.44444,60,4046,0.0617371
6.66667,60,72,0.00109863
8.88889,60,103,0.00157166
11.1111,60,69,0.00105286
13.3333,60,91,0.00138855
15.5556,60,65,0.000991821
17.7778,60,77,0.00117493
2.22222,80,796043,12.1467
4.44444,80,9201,0.140396
6.66667,80,244,0.00372314
8.88889,80,215,0.00328064
11.1111,80,207,0.00315857
13.3333,80,216,0.0032959
15.5556,80,205,0.00312805
17.7778,80,243,0.00370789
2.22222,100,795880,12.1442
4.44444,100,4015,0.061264
6.66667,100,453,0.00691223
8.88889,100,424,0.00646973
11.1111,100,409,0.00624084
13.3333,100,433,0.00660706
15.5556,100,446,0.00680542
17.7778,100,458,0.00698853
2.22222,120,797045,12.1619
4.44444,120,8685,0.132523
6.66667,120,834,0.0127258
8.88889,120,752,0.0114746
11.1111,120,780,0.0119019
13.3333,120,780,0.0119019
15.5556,120,701,0.0106964
17.7778,120,771,0.0117645
2,0,797823,12.1738
4,0,3656,0.0557861
6,0,0,0
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
16,0,0,0
2,20,795244,12.1345
4,20,4920,0.0750732
6,20,5,7.62939e-05
8,20,2,3.05176e-05
10,20,2,3.05176e-05
12,20,2,3.05176e-05
14,20,1,1.52588e-05
16,20,1,1.52588e-05
2,40,796519,12.1539
4,40,4194,0.0639954
6,40,48,0.000732422
8,40,13,0.000198364
10,40,24,0.000366211
12,40,17,0.000259399
14,40,27,0.000411987
16,40,20,0.000305176
2,60,794647,12.1254
4,60,4078,0.0622253
6,60,66,0.00100708
8,60,92,0.00140381
10,60,66,0.00100708
12,60,83,0.00126648
14,60,59,0.000900268
16,60,74,0.00112915
2,80,794624,12.125
4,80,9225,0.140762
6,80,237,0.00361633
8,80,199,0.0030365
10,80,200,0.00305176
12,80,203,0.00309753
14,80,191,0.00291443
16,80,236,0.00360107
2,100,795203,12.1338
4,100,3987,0.0608368
6,100,437,0.00666809
8,100,390,0.00595093
10,100,400,0.00610352
12,100,414,0.00631714
14,100,427,0.0065155
16,100,435,0.00663757
2,120,797292,12.1657
4,120,8739,0.133347
6,120,814,0.0124207
8,120,736,0.0112305
10,120,763,0.0116425
12,120,750,0.0114441
14,120,676,0.0103149
16,120,756,0.0115356
