tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,0,0
6.66667,0,0,0
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,0,0
3.33333,20,1075,0.0164032
6.66667,20,38,0.000579834
10,20,35,0.000534058
13.3333,20,52,0.000793457
16.6667,20,51,0.000778198
20,20,44,0.000671387
23.3333,20,51,0.000778198
26.6667,20,45,0.000686646
3.33333,40,428,0.00653076
6.66667,40,475,0.00724792
10,40,519,0.00791931
13.3333,40,561,0.00856018
16.6667,40,507,0.00773621
20,40,577,0.00880432
23.3333,40,539,0.00822449
26.6667,40,581,0.00886536
3.33333,60,3774,0.0575867
6.66667,60,1836,0.0280151
10,60,1876,0.0286255
13.3333,60,1746,0.0266418
16.6667,60,1889,0.0288239
20,60,1874,0.028595
23.3333,60,1852,0.0282593
26.6667,60,2112,0.0322266
3.33333,80,3737,0.0570221
6.66667,80,4159,0.0634613
10,80,4069,0.062088
13.3333,80,4137,0.0631256
16.6667,80,4182,0.0638123
20,80,4161,0.0634918
23.3333,80,4168,0.0635986
26.6667,80,4290,0.0654602
3.33333,100,8921,0.136124
6.66667,100,7293,0.111282
10,100,7356,0.112244
13.3333,100,7343,0.112045
16.6667,100,7284,0.111145
20,100,7218,0.110138
23.3333,100,7729,0.117935
26.6667,100,7836,0.119568
3.33333,120,8660,0.132141
6.66667,120,11316,0.172668
10,120,11178,0.170563
13.3333,120,11691,0.178391
16.6667,120,11629,0.177444
20,120,11307,0.172531
23.3333,120,11528,0.175903
26.6667,120,11664,0.177979
2.85714,0,3513448,53.611
5.71429,0,16726,0.255219
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,0,0
2.85714,20,2382913,36.3604
5.71429,20,11779,0.179733
8.57143,20,36,0.000549316
11.4286,20,51,0.000778198
14.2857,20,53,0.000808716
17.1429,20,45,0.000686646
20,20,51,0.000778198
22.8571,20,45,0.000686646
2.85714,40,3198173,48.8002
5.71429,40,15739,0.240158
8.57143,40,522,0.00796509
11.4286,40,567,0.00865173
14.2857,40,522,0.00796509
17.1429,40,593,0.00904846
20,40,546,0.0083313
22.8571,40,603,0.00920105
2.85714,60,3314642,50.5774
5.71429,60,17780,0.271301
8.57143,60,1883,0.0287323
11.4286,60,1756,0.0267944
14.2857,60,1891,0.0288544
17.1429,60,1883,0.0287323
20,60,1857,0.0283356
22.8571,60,2106,0.032135
2.85714,80,3906739,59.6121
5.71429,80,22574,0.344452
8.57143,80,4056,0.0618897
11.4286,80,4127,0.062973
14.2857,80,4165,0.0635529
17.1429,80,4150,0.063324
20,80,4158,0.063446
22.8571,80,4259,0.0649872
2.85714,100,4033898,61.5524
5.71429,100,26352,0.4021
8.57143,100,7317,0.111649
11.4286,100,7311,0.111557
14.2857,100,7265,0.110855
17.1429,100,7184,0.109619
