Col,20,40,60,80,100,120
0,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,7fffffffffffffff,7fffffffffffffff,7fffffffffffffff
1,ffffffffffffffff,ffffffffffffffff,ffffffffbffffeff,ffffffffbffffeff,ffffffffbffffeff,ffffffffbffffeff
2,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff7fffffffffff
3,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,f7fffffffbffffff,f7fffffffbffffff,f3fffffffbffffff
4,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,7fffffffffffffff,7fffffffffffffff,7fffffffffffffff
5,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
6,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffdfff
7,ffffffffffffffff,ffffffffffffffbf,ffffffefffffffbf,ffffffefffffffbf,ffffffefffffffbf,ffffffefffffffbf
8,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
9,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
10,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,f7ffffffffffffff,f7ffffffffffffff
11,ffffffffffffffff,ffffffffffffffff,ffffdfff7fffffff,ffffdfff7fffffff,ffffdfff7fffffff,ffffdfff7fffffff
12,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
13,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
14,ffffffffffffffff,ffffffffffffffff,ffffffffffffdfff,ffffffffffffdfff,ffffefffffffdfff,ffffefffffffdfff
15,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
16,ffffffffffffffff,ffffffffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff7fffffffffff
17,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
18,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffeffffff7ffffff
19,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
20,ffffffffffffffff,ffffffffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff7fffffffffff,ffff7fffffffffff
21,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffffe,fffffffffffffffe
22,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffdfffffffffff
23,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffff7,ffffffefffff7ff7
