tRCD,retention,FehlerAbs,FehlerProzent
3.33333,0,1685904,25.7249
6.66667,0,47,0.000717163
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,0,0
3.33333,20,1955281,29.8352
6.66667,20,1569,0.023941
10,20,0,0
13.3333,20,0,0
16.6667,20,0,0
20,20,0,0
23.3333,20,0,0
26.6667,20,234,0.00357056
3.33333,40,2138278,32.6275
6.66667,40,2943,0.0449066
10,40,0,0
13.3333,40,0,0
16.6667,40,0,0
20,40,0,0
23.3333,40,0,0
26.6667,40,0,0
3.33333,60,1587875,24.229
6.66667,60,3195,0.0487518
10,60,0,0
13.3333,60,0,0
16.6667,60,0,0
20,60,0,0
23.3333,60,0,0
26.6667,60,0,0
3.33333,80,1488508,22.7128
6.66667,80,3411,0.0520477
10,80,0,0
13.3333,80,0,0
16.6667,80,0,0
20,80,0,0
23.3333,80,0,0
26.6667,80,0,0
3.33333,100,1754431,26.7705
6.66667,100,5648,0.0861816
10,100,0,0
13.3333,100,0,0
16.6667,100,0,0
20,100,0,0
23.3333,100,0,0
26.6667,100,0,0
3.33333,120,1683092,25.6819
6.66667,120,7269,0.110916
10,120,0,0
13.3333,120,0,0
16.6667,120,0,0
20,120,0,0
23.3333,120,0,0
26.6667,120,0,0
2.85714,0,2913080,44.4501
5.71429,0,12795,0.195236
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,0,0
2.85714,20,2674920,40.816
5.71429,20,13619,0.207809
8.57143,20,0,0
11.4286,20,0,0
14.2857,20,0,0
17.1429,20,0,0
20,20,0,0
22.8571,20,272,0.00415039
2.85714,40,2748867,41.9444
5.71429,40,13934,0.212616
8.57143,40,0,0
11.4286,40,0,0
14.2857,40,0,0
17.1429,40,0,0
20,40,0,0
22.8571,40,0,0
2.85714,60,3078071,46.9676
5.71429,60,13759,0.209946
8.57143,60,0,0
11.4286,60,0,0
14.2857,60,0,0
17.1429,60,0,0
20,60,0,0
22.8571,60,0,0
2.85714,80,2908558,44.3811
5.71429,80,12766,0.194794
8.57143,80,0,0
11.4286,80,0,0
14.2857,80,0,0
17.1429,80,0,0
20,80,0,0
22.8571,80,0,0
2.85714,100,2702177,41.2319
5.71429,100,13146,0.200592
8.57143,100,0,0
11.4286,100,0,0
14.2857,100,0,0
17.1429,100,0,0
20,100,0,0
22.8571,100,0,0
2.85714,120,2576548,39.315
5.71429,120,13060,0.19928
8.57143,120,0,0
11.4286,120,0,0
14.2857,120,0,0
17.1429,120,0,0
20,120,0,0
22.8571,120,0,0
2.5,0,2977258,45.4294
5,0,15889,0.242447
7.5,0,10,0.000152588
10,0,0,0
12.5,0,0,0
15,0,0,0
17.5,0,0,0
20,0,0,0
2.5,20,4656153,71.0473
5,20,24041,0.366837
7.5,20,0,0
10,20,0,0
12.5,20,0,0
15,20,0,0
17.5,20,0,0
20,20,322,0.00491333
2.5,40,4629757,70.6445
5,40,22188,0.338562
7.5,40,6,9.15527e-05
10,40,0,0
12.5,40,0,0
15,40,0,0
17.5,40,0,0
20,40,0,0
2.5,60,3171447,48.3924
5,60,14833,0.226334
7.5,60,2,3.05176e-05
10,60,0,0
12.5,60,0,0
15,60,0,0
17.5,60,0,0
20,60,0,0
2.5,80,2972251,45.353
5,80,13568,0.207031
7.5,80,2,3.05176e-05
10,80,0,0
12.5,80,0,0
15,80,0,0
17.5,80,0,0
20,80,0,0
2.5,100,4010312,61.1925
5,100,14819,0.22612
7.5,100,1,1.52588e-05
10,100,0,0
12.5,100,0,0
15,100,0,0
17.5,100,0,0
20,100,0,0
2.5,120,3906520,59.6088
5,120,19603,0.299118
7.5,120,0,0
10,120,0,0
12.5,120,0,0
15,120,0,0
17.5,120,0,0
20,120,0,0
2.22222,0,3027935,46.2026
4.44444,0,1916204,29.239
6.66667,0,8426,0.128571
8.88889,0,0,0
11.1111,0,0,0
13.3333,0,0,0
15.5556,0,0,0
17.7778,0,0,0
2.22222,20,6455662,98.5056
4.44444,20,2320096,35.4019
6.66667,20,12322,0.188019
8.88889,20,0,0
11.1111,20,0,0
13.3333,20,0,0
15.5556,20,0,0
17.7778,20,350,0.00534058
2.22222,40,6441970,98.2967
4.44444,40,2227815,33.9938
6.66667,40,11236,0.171448
8.88889,40,0,0
11.1111,40,0,0
13.3333,40,0,0
15.5556,40,0,0
17.7778,40,0,0
2.22222,60,3198986,48.8127
4.44444,60,1927715,29.4146
6.66667,60,11728,0.178955
8.88889,60,0,0
11.1111,60,0,0
13.3333,60,0,0
15.5556,60,0,0
17.7778,60,0,0
2.22222,80,3010778,45.9408
4.44444,80,1646082,25.1172
6.66667,80,7740,0.118103
8.88889,80,0,0
11.1111,80,0,0
13.3333,80,0,0
15.5556,80,0,0
17.7778,80,0,0
2.22222,100,6343985,96.8015
4.44444,100,1694873,25.8617
6.66667,100,7091,0.1082
8.88889,100,0,0
11.1111,100,0,0
13.3333,100,0,0
15.5556,100,0,0
17.7778,100,0,0
2.22222,120,6471230,98.7431
4.44444,120,1851256,28.2479
6.66667,120,9610,0.146637
8.88889,120,0,0
11.1111,120,0,0
13.3333,120,0,0
15.5556,120,0,0
17.7778,120,0,0
2,0,3048140,46.5109
4,0,2899402,44.2414
6,0,12776,0.194946
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
16,0,0,0
2,20,6432580,98.1534
4,20,2654434,40.5034
6,20,13256,0.202271
8,20,0,0
10,20,0,0
12,20,0,0
14,20,0,0
16,20,370,0.00564575
2,40,6419502,97.9538
4,40,2735902,41.7466
6,40,13791,0.210434
8,40,0,0
10,40,0,0
12,40,0,0
14,40,0,0
16,40,0,0
2,60,3248018,49.5608
4,60,2877232,43.9031
6,60,13462,0.205414
8,60,0,0
10,60,0,0
12,60,0,0
14,60,0,0
16,60,0,0
2,80,3031973,46.2642
4,80,2865772,43.7282
6,80,12512,0.190918
8,80,0,0
10,80,0,0
12,80,0,0
14,80,0,0
16,80,0,0
2,100,6322893,96.4797
4,100,2941528,44.8842
6,100,12808,0.195435
8,100,0,0
10,100,0,0
12,100,0,0
14,100,0,0
16,100,0,0
2,120,6446540,98.3664
4,120,2585512,39.4518
6,120,12830,0.19577
8,120,0,0
10,120,0,0
12,120,0,0
14,120,0,0
16,120,0,0
