tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,91761,1.40016
6.66667,0,14,0.000213623
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,0,0
3.33333,20,91540,1.39679
6.66667,20,1492,0.0227661
10,20,1449,0.02211
13.3333,20,1556,0.0237427
16.6667,20,1720,0.0262451
20,20,1676,0.0255737
23.3333,20,1844,0.0281372
26.6667,20,2421,0.0369415
3.33333,40,101651,1.55107
6.66667,40,10753,0.164078
10,40,10702,0.1633
13.3333,40,10592,0.161621
16.6667,40,10260,0.156555
20,40,10573,0.161331
23.3333,40,11129,0.169815
26.6667,40,11230,0.171356
3.33333,60,146288,2.23218
6.66667,60,25859,0.394577
10,60,27249,0.415787
13.3333,60,28231,0.430771
16.6667,60,29073,0.443619
20,60,28822,0.439789
23.3333,60,27310,0.416718
26.6667,60,27788,0.424011
3.33333,80,117801,1.7975
6.66667,80,50664,0.773071
10,80,49948,0.762146
13.3333,80,48124,0.734314
16.6667,80,50960,0.777588
20,80,52924,0.807556
23.3333,80,53475,0.815964
26.6667,80,53682,0.819122
3.33333,100,88654,1.35275
6.66667,100,74473,1.13637
10,100,77549,1.1833
13.3333,100,78734,1.20139
16.6667,100,78723,1.20122
20,100,76402,1.1658
23.3333,100,78131,1.19218
26.6667,100,81456,1.24292
3.33333,120,107206,1.63583
6.66667,120,109775,1.67503
10,120,106759,1.62901
13.3333,120,102516,1.56427
16.6667,120,107108,1.63434
20,120,108983,1.66295
23.3333,120,108704,1.65869
26.6667,120,108704,1.65869
2.85714,0,147108,2.24469
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,0,0
2.85714,20,139949,2.13545
5.71429,20,1649,0.0251617
8.57143,20,1642,0.0250549
11.4286,20,1702,0.0259705
14.2857,20,1864,0.0284424
17.1429,20,1758,0.026825
20,20,1913,0.0291901
