tRCD in ns,retention,FehlerAbs,FehlerProzent
2.85714,0,8469199,25.2402
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,1,2.98023e-06
2.85714,20,14998903,44.7002
5.71429,20,17,5.06639e-05
8.57143,20,20,5.96046e-05
11.4286,20,18,5.36442e-05
14.2857,20,21,6.25849e-05
17.1429,20,26,7.7486e-05
20,20,24,7.15256e-05
22.8571,20,37,0.000110269
2.85714,40,9043347,26.9513
5.71429,40,157,0.000467896
8.57143,40,155,0.000461936
11.4286,40,151,0.000450015
14.2857,40,145,0.000432134
17.1429,40,152,0.000452995
20,40,141,0.000420213
22.8571,40,175,0.000521541
2.85714,60,15997577,47.6765
5.71429,60,164,0.000488758
8.57143,60,164,0.000488758
11.4286,60,162,0.000482798
14.2857,60,154,0.000458956
17.1429,60,160,0.000476837
20,60,145,0.000432134
22.8571,60,131,0.00039041
2.85714,80,9106291,27.1389
5.71429,80,160,0.000476837
8.57143,80,156,0.000464916
11.4286,80,154,0.000458956
14.2857,80,153,0.000455976
17.1429,80,160,0.000476837
20,80,146,0.000435114
22.8571,80,184,0.000548363
2.5,0,8498193,25.3266
5,0,0,0
7.5,0,0,0
10,0,0,0
12.5,0,0,0
15,0,0,0
17.5,0,0,0
20,0,1,2.98023e-06
2.5,20,14961759,44.5895
5,20,17,5.06639e-05
7.5,20,22,6.55651e-05
10,20,20,5.96046e-05
12.5,20,20,5.96046e-05
15,20,27,8.04663e-05
17.5,20,24,7.15256e-05
20,20,36,0.000107288
2.5,40,9068445,27.0261
5,40,156,0.000464916
7.5,40,153,0.000455976
10,40,149,0.000444055
12.5,40,143,0.000426173
15,40,150,0.000447035
17.5,40,140,0.000417233
20,40,167,0.000497699
2.5,60,15967964,47.5882
5,60,161,0.000479817
7.5,60,160,0.000476837
10,60,166,0.000494719
12.5,60,163,0.000485778
15,60,174,0.00051856
17.5,60,159,0.000473857
20,60,140,0.000417233
2.5,80,9075990,27.0486
5,80,171,0.00050962
7.5,80,160,0.000476837
10,80,169,0.000503659
12.5,80,158,0.000470877
15,80,164,0.000488758
17.5,80,154,0.000458956
20,80,188,0.000560284
2.22222,0,8499107,25.3293
4.44444,0,0,0
6.66667,0,0,0
8.88889,0,0,0
11.1111,0,0,0
13.3333,0,0,0
15.5556,0,0,0
17.7778,0,1,2.98023e-06
2.22222,20,15001738,44.7087
4.44444,20,16,4.76837e-05
6.66667,20,17,5.06639e-05
8.88889,20,15,4.47035e-05
11.1111,20,19,5.66244e-05
13.3333,20,20,5.96046e-05
15.5556,20,21,6.25849e-05
17.7778,20,31,9.23872e-05
2.22222,40,9058091,26.9952
4.44444,40,143,0.000426173
6.66667,40,128,0.00038147
8.88889,40,138,0.000411272
11.1111,40,118,0.000351667
13.3333,40,130,0.00038743
15.5556,40,122,0.000363588
17.7778,40,146,0.000435114
2.22222,60,16009641,47.7124
4.44444,60,152,0.000452995
6.66667,60,148,0.000441074
8.88889,60,156,0.000464916
11.1111,60,149,0.000444055
13.3333,60,156,0.000464916
15.5556,60,147,0.000438094
17.7778,60,132,0.000393391
2.22222,80,9106161,27.1385
4.44444,80,158,0.000470877
6.66667,80,154,0.000458956
8.88889,80,160,0.000476837
11.1111,80,149,0.000444055
13.3333,80,159,0.000473857
15.5556,80,148,0.000441074
17.7778,80,188,0.000560284
2,0,8526082,25.4097
4,0,0,0
6,0,0,0
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
16,0,1,2.98023e-06
2,20,15014070,44.7454
4,20,16,4.76837e-05
6,20,20,5.96046e-05
8,20,15,4.47035e-05
10,20,20,5.96046e-05
12,20,23,6.85453e-05
14,20,20,5.96046e-05
16,20,35,0.000104308
2,40,9079895,27.0602
4,40,151,0.000450015
6,40,145,0.000432134
8,40,151,0.000450015
10,40,147,0.000438094
12,40,156,0.000464916
14,40,145,0.000432134
16,40,185,0.000551343
2,60,16040117,47.8033
4,60,172,0.0005126
6,60,170,0.000506639
8,60,169,0.000503659
10,60,158,0.000470877
12,60,172,0.0005126
14,60,152,0.000452995
16,60,129,0.00038445
2,80,9153536,27.2797
4,80,153,0.000455976
6,80,146,0.000435114
8,80,151,0.000450015
10,80,147,0.000438094
12,80,158,0.000470877
14,80,145,0.000432134
16,80,185,0.000551343
