tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,2915168,8.68788
6.66667,0,0,0
10,0,0,0
13.3333,0,4,1.19209e-05
16.6667,0,18,5.36442e-05
20,0,40,0.000119209
23.3333,0,71,0.000211596
26.6667,0,158,0.000470877
3.33333,20,3888094,11.5874
6.66667,20,8888,0.0264883
10,20,9885,0.0294596
13.3333,20,10978,0.032717
16.6667,20,12418,0.0370085
20,20,13648,0.0406742
23.3333,20,14902,0.0444114
26.6667,20,16706,0.0497878
3.33333,40,4234456,12.6197
6.66667,40,37303,0.111172
10,40,38545,0.114873
13.3333,40,39579,0.117955
16.6667,40,40301,0.120106
20,40,41310,0.123113
23.3333,40,41527,0.12376
26.6667,40,41907,0.124893
3.33333,60,4511420,13.4451
6.66667,60,42614,0.127
10,60,42153,0.125626
13.3333,60,42096,0.125456
16.6667,60,42689,0.127223
20,60,42649,0.127104
23.3333,60,42614,0.127
26.6667,60,42915,0.127897
3.33333,80,4310102,12.8451
6.66667,80,37598,0.112051
10,80,38923,0.116
13.3333,80,39975,0.119135
16.6667,80,40678,0.12123
20,80,41736,0.124383
23.3333,80,41985,0.125125
26.6667,80,42386,0.12632
2.85714,0,2906742,8.66277
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,4,1.19209e-05
14.2857,0,20,5.96046e-05
17.1429,0,44,0.00013113
20,0,75,0.000223517
22.8571,0,166,0.000494719
2.85714,20,3864893,11.5183
5.71429,20,8990,0.0267923
8.57143,20,9999,0.0297993
11.4286,20,11188,0.0333428
14.2857,20,12589,0.0375181
17.1429,20,13887,0.0413865
20,20,15231,0.0453919
22.8571,20,17052,0.0508189
2.85714,40,4224690,12.5906
5.71429,40,37534,0.11186
8.57143,40,38879,0.115868
11.4286,40,39987,0.119171
14.2857,40,40645,0.121132
17.1429,40,41773,0.124493
20,40,41952,0.125027
22.8571,40,42377,0.126293
2.85714,60,4498824,13.4075
5.71429,60,43506,0.129658
8.57143,60,43038,0.128263
11.4286,60,43019,0.128207
14.2857,60,43613,0.129977
17.1429,60,43389,0.129309
20,60,43410,0.129372
22.8571,60,43568,0.129843
2.85714,80,4300544,12.8166
5.71429,80,38134,0.113648
8.57143,80,39497,0.11771
11.4286,80,40640,0.121117
14.2857,80,41292,0.12306
17.1429,80,42465,0.126556
20,80,42576,0.126886
22.8571,80,43002,0.128156
2.5,0,2911764,8.67773
5,0,0,0
7.5,0,0,0
10,0,4,1.19209e-05
12.5,0,17,5.06639e-05
15,0,42,0.00012517
17.5,0,72,0.000214577
20,0,162,0.000482798
2.5,20,3878372,11.5584
5,20,8816,0.0262737
7.5,20,9835,0.0293106
10,20,10962,0.0326693
12.5,20,12329,0.0367433
15,20,13630,0.0406206
17.5,20,14916,0.0444531
20,20,16710,0.0497997
2.5,40,4234529,12.6199
5,40,37262,0.111049
7.5,40,38504,0.114751
10,40,39514,0.117761
12.5,40,40200,0.119805
15,40,41358,0.123256
17.5,40,41512,0.123715
20,40,41910,0.124902
2.5,60,4518737,13.4669
5,60,43153,0.128606
7.5,60,42710,0.127286
10,60,42663,0.127146
12.5,60,43291,0.129017
15,60,43021,0.128213
17.5,60,42997,0.128141
20,60,43160,0.128627
2.5,80,4301772,12.8203
5,80,37996,0.113237
7.5,80,39361,0.117305
10,80,40446,0.120538
12.5,80,41140,0.122607
15,80,42277,0.125995
17.5,80,42433,0.12646
