tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,1479226,22.5712
6.66667,0,29,0.000442505
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,0,0
23.3333,0,0,0
26.6667,0,0,0
3.33333,20,1574682,24.0277
6.66667,20,1178,0.0179749
10,20,0,0
13.3333,20,0,0
16.6667,20,0,0
20,20,0,0
23.3333,20,0,0
26.6667,20,212,0.00323486
3.33333,40,1398332,21.3369
6.66667,40,2050,0.0312805
10,40,0,0
13.3333,40,0,0
16.6667,40,0,0
20,40,0,0
23.3333,40,0,0
26.6667,40,0,0
3.33333,60,1238846,18.9033
6.66667,60,2199,0.0335541
10,60,0,0
13.3333,60,0,0
16.6667,60,0,0
20,60,0,0
23.3333,60,0,0
26.6667,60,0,0
3.33333,80,1139688,17.3903
6.66667,80,2275,0.0347137
10,80,0,0
13.3333,80,0,0
16.6667,80,0,0
20,80,0,0
23.3333,80,0,0
26.6667,80,0,0
3.33333,100,1214696,18.5348
6.66667,100,2986,0.0455627
10,100,0,0
13.3333,100,0,0
16.6667,100,0,0
20,100,0,0
23.3333,100,0,0
26.6667,100,0,0
3.33333,120,1116707,17.0396
6.66667,120,6126,0.0934753
10,120,0,0
13.3333,120,0,0
16.6667,120,0,0
20,120,0,0
23.3333,120,0,0
26.6667,120,0,0
2.85714,0,2832225,43.2163
5.71429,0,11686,0.178314
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,0,0
20,0,0,0
22.8571,0,0,0
2.85714,20,2558046,39.0327
5.71429,20,12251,0.186935
8.57143,20,0,0
11.4286,20,0,0
14.2857,20,0,0
17.1429,20,0,0
20,20,0,0
22.8571,20,240,0.00366211
2.85714,40,2609434,39.8168
5.71429,40,12376,0.188843
8.57143,40,0,0
11.4286,40,0,0
14.2857,40,0,0
17.1429,40,0,0
20,40,0,0
22.8571,40,0,0
2.85714,60,2985423,45.5539
5.71429,60,12166,0.185638
8.57143,60,0,0
11.4286,60,0,0
14.2857,60,0,0
17.1429,60,0,0
20,60,0,0
22.8571,60,0,0
2.85714,80,2840618,43.3444
5.71429,80,11582,0.176727
8.57143,80,0,0
11.4286,80,0,0
14.2857,80,0,0
17.1429,80,0,0
20,80,0,0
22.8571,80,0,0
2.85714,100,2572345,39.2509
5.71429,100,11907,0.181686
8.57143,100,0,0
11.4286,100,0,0
14.2857,100,0,0
17.1429,100,0,0
20,100,0,0
22.8571,100,0,0
2.85714,120,2497833,38.1139
5.71429,120,11782,0.179779
8.57143,120,0,0
11.4286,120,0,0
14.2857,120,0,0
17.1429,120,0,0
20,120,0,0
22.8571,120,0,0
2.5,0,2883475,43.9983
5,0,12570,0.191803
7.5,0,3,4.57764e-05
10,0,0,0
12.5,0,0,0
15,0,0,0
17.5,0,0,0
20,0,0,0
2.5,20,4117460,62.8275
5,20,19531,0.298019
7.5,20,2,3.05176e-05
10,20,0,0
12.5,20,0,0
15,20,0,0
17.5,20,0,0
20,20,277,0.00422668
2.5,40,3910068,59.6629
5,40,18303,0.279282
7.5,40,0,0
10,40,0,0
12.5,40,0,0
15,40,0,0
17.5,40,0,0
20,40,0,0
2.5,60,3069224,46.8326
5,60,12820,0.195618
7.5,60,1,1.52588e-05
10,60,0,0
12.5,60,0,0
15,60,0,0
17.5,60,0,0
20,60,0,0
2.5,80,2898813,44.2324
5,80,11929,0.182022
7.5,80,1,1.52588e-05
10,80,0,0
12.5,80,0,0
15,80,0,0
17.5,80,0,0
20,80,0,0
2.5,100,3793629,57.8862
5,100,12631,0.192734
7.5,100,0,0
10,100,0,0
12.5,100,0,0
15,100,0,0
17.5,100,0,0
20,100,0,0
2.5,120,3454259,52.7078
5,120,16028,0.244568
7.5,120,1,1.52588e-05
10,120,0,0
12.5,120,0,0
15,120,0,0
17.5,120,0,0
20,120,0,0
2.22222,0,2920033,44.5562
4.44444,0,1675920,25.5725
