tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,14851417,44.2607
6.66667,0,0,0
10,0,0,0
13.3333,0,0,0
16.6667,0,0,0
20,0,2,5.96046e-06
23.3333,0,5,1.49012e-05
26.6667,0,11,3.27826e-05
3.33333,20,20854021,62.1498
6.66667,20,993,0.00295937
10,20,1061,0.00316203
13.3333,20,1300,0.0038743
16.6667,20,1395,0.00415742
20,20,1626,0.00484586
23.3333,20,1968,0.0058651
26.6667,20,2183,0.00650585
3.33333,40,15288581,45.5635
6.66667,40,6021,0.017944
10,40,6299,0.0187725
13.3333,40,6606,0.0196874
16.6667,40,6503,0.0193805
20,40,6651,0.0198215
23.3333,40,6896,0.0205517
26.6667,40,6594,0.0196517
3.33333,60,21582675,64.3214
6.66667,60,6852,0.0204206
10,60,6790,0.0202358
13.3333,60,6890,0.0205338
16.6667,60,6980,0.020802
20,60,7032,0.020957
23.3333,60,7239,0.0215739
26.6667,60,7263,0.0216454
3.33333,80,15334566,45.7006
6.66667,80,6777,0.020197
10,80,6691,0.0199407
13.3333,80,6943,0.0206918
16.6667,80,6770,0.0201762
20,80,6801,0.0202686
23.3333,80,7036,0.0209689
26.6667,80,6800,0.0202656
2.85714,0,14875959,44.3338
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,0,0
14.2857,0,0,0
17.1429,0,2,5.96046e-06
20,0,5,1.49012e-05
22.8571,0,8,2.38419e-05
2.85714,20,20845642,62.1249
5.71429,20,967,0.00288188
8.57143,20,1043,0.00310838
11.4286,20,1252,0.00373125
14.2857,20,1353,0.00403225
17.1429,20,1581,0.00471175
20,20,1910,0.00569224
22.8571,20,2117,0.00630915
2.85714,40,15300982,45.6005
5.71429,40,5757,0.0171572
8.57143,40,5974,0.0178039
11.4286,40,6219,0.0185341
14.2857,40,6078,0.0181139
17.1429,40,6271,0.018689
20,40,6579,0.0196069
22.8571,40,6428,0.0191569
2.85714,60,21587748,64.3365
5.71429,60,6692,0.0199437
8.57143,60,6575,0.019595
11.4286,60,6654,0.0198305
14.2857,60,6698,0.0199616
17.1429,60,6613,0.0197083
20,60,6946,0.0207007
22.8571,60,6828,0.020349
2.85714,80,15339357,45.7148
5.71429,80,6325,0.01885
8.57143,80,6379,0.0190109
11.4286,80,6622,0.0197351
14.2857,80,6414,0.0191152
17.1429,80,6494,0.0193536
20,80,6676,0.019896
22.8571,80,6480,0.0193119
2.5,0,14926831,44.4854
5,0,0,0
7.5,0,0,0
10,0,0,0
12.5,0,0,0
