tRCD in ns,retention,FehlerAbs,FehlerProzent
3.33333,0,2617579,7.80099
6.66667,0,0,0
10,0,0,0
13.3333,0,1,2.98023e-06
16.6667,0,4,1.19209e-05
20,0,11,3.27826e-05
23.3333,0,14,4.17233e-05
26.6667,0,30,8.9407e-05
3.33333,20,3606688,10.7488
6.66667,20,1423,0.00424087
10,20,1562,0.00465512
13.3333,20,1831,0.00545681
16.6667,20,2193,0.00653565
20,20,2402,0.00715852
23.3333,20,2697,0.00803769
26.6667,20,3202,0.0095427
3.33333,40,4239769,12.6355
6.66667,40,7847,0.0233859
10,40,7881,0.0234872
13.3333,40,8207,0.0244588
16.6667,40,7998,0.0238359
20,40,8172,0.0243545
23.3333,40,8137,0.0242501
26.6667,40,8199,0.0244349
3.33333,60,4526986,13.4915
6.66667,60,8221,0.0245005
10,60,8015,0.0238866
13.3333,60,8038,0.0239551
16.6667,60,7920,0.0236034
20,60,7979,0.0237793
23.3333,60,7832,0.0233412
26.6667,60,8092,0.024116
3.33333,80,4317005,12.8657
6.66667,80,7870,0.0234544
10,80,7904,0.0235558
13.3333,80,8230,0.0245273
16.6667,80,8016,0.0238895
20,80,8197,0.024429
23.3333,80,8160,0.0243187
26.6667,80,8221,0.0245005
2.85714,0,2595217,7.73435
5.71429,0,0,0
8.57143,0,0,0
11.4286,0,1,2.98023e-06
14.2857,0,2,5.96046e-06
17.1429,0,9,2.68221e-05
20,0,13,3.8743e-05
22.8571,0,32,9.53674e-05
2.85714,20,3600853,10.7314
5.71429,20,1429,0.00425875
8.57143,20,1557,0.00464022
11.4286,20,1902,0.0056684
14.2857,20,2353,0.00701249
17.1429,20,2507,0.00747144
20,20,2846,0.00848174
22.8571,20,3240,0.00965595
2.85714,40,4210865,12.5494
5.71429,40,7830,0.0233352
8.57143,40,7909,0.0235707
11.4286,40,8186,0.0243962
14.2857,40,8125,0.0242144
17.1429,40,8371,0.0249475
20,40,8238,0.0245512
22.8571,40,8174,0.0243604
2.85714,60,4537018,13.5214
5.71429,60,8728,0.0260115
8.57143,60,8611,0.0256628
11.4286,60,8527,0.0254124
14.2857,60,8489,0.0252992
17.1429,60,8615,0.0256747
20,60,8509,0.0253588
22.8571,60,8872,0.0264406
2.85714,80,4323277,12.8844
5.71429,80,7970,0.0237525
8.57143,80,8191,0.0244111
11.4286,80,8689,0.0258952
14.2857,80,8634,0.0257313
17.1429,80,8926,0.0266016
20,80,9108,0.027144
22.8571,80,9132,0.0272155
2.5,0,2606424,7.76775
5,0,0,0
7.5,0,0,0
10,0,1,2.98023e-06
12.5,0,4,1.19209e-05
15,0,11,3.27826e-05
17.5,0,11,3.27826e-05
20,0,26,7.7486e-05
2.5,20,3631502,10.8227
5,20,1439,0.00428855
7.5,20,1552,0.00462532
10,20,1801,0.0053674
12.5,20,2105,0.00627339
15,20,2244,0.00668764
17.5,20,2531,0.00754297
20,20,2993,0.00891984
2.5,40,4242934,12.6449
5,40,7467,0.0222534
7.5,40,7555,0.0225157
10,40,7934,0.0236452
12.5,40,7837,0.0233561
15,40,8015,0.0238866
17.5,40,8131,0.0242323
20,40,8108,0.0241637
2.5,60,4531664,13.5054
5,60,8230,0.0245273
7.5,60,8123,0.0242084
10,60,8208,0.0244617
12.5,60,8213,0.0244766
15,60,8333,0.0248343
17.5,60,8260,0.0246167
20,60,8590,0.0256002
2.5,80,4324296,12.8874
5,80,7528,0.0224352
7.5,80,7592,0.0226259
10,80,7984,0.0237942
12.5,80,7885,0.0234991
15,80,8076,0.0240684
17.5,80,8218,0.0244915
20,80,8205,0.0244528
2.22222,0,2604001,7.76053
4.44444,0,0,0
6.66667,0,0,0
8.88889,0,1,2.98023e-06
11.1111,0,2,5.96046e-06
13.3333,0,8,2.38419e-05
15.5556,0,7,2.08616e-05
17.7778,0,23,6.85453e-05
2.22222,20,3624548,10.802
4.44444,20,1374,0.00409484
6.66667,20,1497,0.00446141
8.88889,20,1733,0.00516474
11.1111,20,2050,0.00610948
13.3333,20,2217,0.00660717
15.5556,20,2524,0.00752211
17.7778,20,2998,0.00893474
2.22222,40,4210443,12.5481
4.44444,40,7420,0.0221133
6.66667,40,7514,0.0223935
8.88889,40,7952,0.0236988
11.1111,40,7892,0.02352
13.3333,40,8043,0.02397
15.5556,40,8156,0.0243068
17.7778,40,8109,0.0241667
2.22222,60,4531220,13.5041
4.44444,60,8271,0.0246495
6.66667,60,8079,0.0240773
8.88889,60,8163,0.0243276
11.1111,60,8242,0.0245631
13.3333,60,8306,0.0247538
15.5556,60,8179,0.0243753
17.7778,60,8407,0.0250548
2.22222,80,4316722,12.8648
4.44444,80,7464,0.0222445
6.66667,80,7560,0.0225306
8.88889,80,7980,0.0237823
11.1111,80,7922,0.0236094
13.3333,80,8095,0.024125
15.5556,80,8220,0.0244975
17.7778,80,8178,0.0243723
2,0,2606242,7.76721
4,0,0,0
6,0,0,0
8,0,1,2.98023e-06
10,0,2,5.96046e-06
12,0,9,2.68221e-05
14,0,9,2.68221e-05
16,0,21,6.25849e-05
2,20,3626234,10.807
4,20,1379,0.00410974
6,20,1495,0.00445545
8,20,1756,0.00523329
10,20,2047,0.00610054
12,20,2219,0.00661314
14,20,2572,0.00766516
16,20,2996,0.00892878
2,40,4251582,12.6707
4,40,7629,0.0227362
6,40,7710,0.0229776
8,40,8094,0.024122
10,40,8013,0.0238806
12,40,8199,0.0244349
14,40,8286,0.0246942
16,40,8280,0.0246763
2,60,4519899,13.4703
4,60,8370,0.0249445
6,60,8238,0.0245512
8,60,8311,0.0247687
10,60,8350,0.0248849
12,60,8402,0.0250399
14,60,8312,0.0247717
16,60,8680,0.0258684
2,80,4301967,12.8209
4,80,7655,0.0228137
